摊位号码,学生公司名称,学校,产品介绍,分组编号,分组名称,,,,,,,,,,,
01,归朴沐禾,上海市医药学校,利用了我们生物系的技术提取出的茶多酚加茶渣的结合香皂，它提取了天然茶多酚和积雪草草本精华，还特别添加丝瓜囊，大大增强清洁力，能深层洗净毛孔污垢。性质温和不刺激，洗后肌肤不紧绷，还有滋养保湿的效果。而且带着自然的草本清香，用起来感觉特别舒服。这样的香皂，无论是日常清洁还是想要改善肌肤状态，都很合适哦。,C,个护香氛,,,,,,,,,,,
02,Di4s,上海市大同中学,本产品是一款专为手抖人群（老人、帕金森群体）设计的防抖辅助勺。在勺底增设配重块，同时在勺面与勺柄连接处设置可旋转连接槽，通过配重的稳定作用与连接槽的灵活转动，有效抵消手部抖动带来的影响，让使用者能更平稳地用餐，提升用餐的便利性与自主性。,B,科技创新,,,,,,,,,,,
03,臻畅优选,上海市医药学校,在如今的学习阶段我们的书本越来越多，导致大量的书本堆在教室中的桌子上、地上，为了解决在学校中个人收纳空间不够的问题我们设计了可以磁吸在桌子架上的磁吸收纳袋来增加我们个人的收纳空间，能让我们能储存更多的个人用品。也可以运用在家中作为便携的收纳袋。,D,居家生活,,,,,,,,,,,
04,经纬牵,上海市医药学校,经纬牵，一款重新定义人宠关系的智能关怀系统，由创新智能胸背与多功能小程序深度联动而成。与之无缝衔接的小程序，构建出五位一体的数字养宠生态：地图板块实现宠物位置实时监控与智能电子围栏；宠物记录形成终身数字档案；领养板块践行“领养代替购买”理念；丢失启示一键激活社区互助网络；个人中心智能管理隐私与互动。系统更融入AR实景寻宠、健康预警、数字分身等前沿功能，通过科技将牵挂转化为看得见的安心。经纬牵不止于工具，更是温暖陪伴——让每次外出都安心，让每份健康可掌控，让科技真正服务于生命的联结。,B,科技创新,,,,,,,,,,,
05,Beyond the Earth,上海市闵行区汇点学校,紧急救援戒指,B,科技创新,,,,,,,,,,,
06,咕咕嘎嘎吖吖,上海市甘泉外国语中学,为学生们设计的治愈系IP。从玩偶立牌到卡包零钱包，将学习工具变为放松源泉，陪伴每个专注时刻，让知识在指尖温柔流淌。,A,文创周边,,,,,,,,,,,
07,Beatempo 笔奏,上海市闵行区汇点学校,一种全新设计的PenBeat笔，一种乐器,E,休闲娱乐,,,,,,,,,,,
08,贵信,上海市建平世纪中学,智能药箱，具有按时提醒吃药，药品归类，药品过期提醒等功能，后期可连接家庭医生,B,科技创新,,,,,,,,,,,
09,Karios,上海市闵行区汇点学校,服务于学生，我们是实时监护（保护），提供通勤时的保障。,B,科技创新,,,,,,,,,,,
10,Shinetime 拾光,上海市甘泉外国语中学,我们的产品是一款集展示、互动与香氛功能于一体的多功能吧唧盒。通过高透明外壳清晰展示吧唧图案，内置摇摇粒为收藏增添趣味。盒内预留香片位置，可搭配不同香型，营造独特的嗅觉氛围。产品兼具美观展示、实用保护与个性化搭配，是支持用户日常收纳、摆拍与装饰的理想选择。另外，我们还有挂件产品，能够实现便携美观的外出展示需求。,A,文创周边,,,,,,,,,,,
11,OOOOOI 沽焦,上海市建平世纪中学,多功能收纳盒 带有防尘翻盖 不使用时可以折叠起来放置不占空间 前面有洞洞板 可以用于装饰 提升幸福感,D,居家生活,,,,,,,,,,,
12,南山造物社,上海市商业学校,拼豆DIY挂件，以多彩拼豆为原料，支持自由创意拼搭，款式丰富，造型可爱，可定制专属图案，兼具手工趣味与装饰实用性，是个性穿搭，桌面点缀的小巧之选,A,文创周边,,,,,,,,,,,
13,DOVE 多维公司,上海市继光高级中学,产品介绍：许愿香囊，本产品作为一个可满足当代年轻人不同需求的香囊，买家可自行选择喜欢的香料进行DIY。在如今高速发展的社会中，中华传统文化日益被遗忘，而中药这一传承千年的宝藏，它以独特的药效和温和的调理方式，赢得了世人的广泛赞誉，有“源于自然，回归健康”的称号。为了弘扬中药这一中华传统文化，我们在科普和宣传中药知识的基础上，加以香囊为媒介，通过DIY不同的香囊，配置拥有不同寓意和不同中药作用的香料，同时，我们再将对未来的期望或是对自己的祝愿用以纸条的形式存入香囊中，当然，此款香囊也可以作为礼品赠送给朋友家人，将那些想说但又说不出口的话用文字委婉的传递给他人。,C,个护香氛,,,,,,,,,,,
14,月入十个大不六,上海市继光高级中学,可种植种子手环。该手环由热缩纸和种子两部分组成。初期将以12生肖盲盒及其指定款形式进行售卖，作为饰品。当用户不想带该饰品后，可将种子纸取出水培方式进行种子种植。热缩纸部分可用吹风机外加丙烯颜料进行自行DIY，做成挂件形式,A,文创周边,,,,,,,,,,,
15,学生时代 SXH,上海市西中学,"恋与贴膜札（概念款）
本款为原创设计的吧唧专属定制贴膜工具，专为解决手工贴膜易留气泡、裁剪不规整、边缘翘边等痛点设计。采用抽拉式置放结构，将吧唧放入卡槽轻推即可完成精准定位，旋转顶部旋钮，便能同步实现膜面无痕刮平与边缘精准切割，全程操作简单高效，无需技巧即可贴出完美膜面，全方位守护心爱吧唧，让收藏更省心、颜值更持久。
本款为概念设计款，现场展示为基础模型，核心功能与操作逻辑已定型，敬请期待成品，也欢迎详情咨询。

蛋糕罐里的发饰姬
在想怎么存储发绳吗？缺好看的发饰吗？我们以多巴胺蛋糕罐为载体，采用扭扭棒手工塑型包裹罐身，打造蛋糕造型创意收纳容器，兼具颜值与实用价值。罐内为日常百搭款发绳、发卡等发饰盲盒，拆盒解锁随机惊喜；整体可作桌面收纳罐，规整收纳小发饰，亦可充当桌面载物台，摆置装点皆适宜。日常风设计适配多种场景，既是别致的收纳好物，也是富有巧思的桌面小摆件。

次元建系封印章
简约白色按压式造型，适配数理学习场景专属设计，印面为空间直角坐标系建系标准表述，一键按压即可清晰留印，省去反复抄写繁复建系文字的耗时步骤，适配作业本书写、板书标注、错题整理等多种学习场景，高效提升数理解题、笔记整理效率，是理科学习的实用辅助工具。",A,文创周边,,,,,,,,,,,
16,无忧树洞,上海商业会计学校,"手作萌系女性便携报警器：颜值与防护并存的随身安心伴侣

本款手作萌系便携报警器，专为女性日常安全防护需求量身打造，打破传统安防工具冰冷的工业质感，以“实用防护+手工美学”为核心，重新定义女性随身防护单品。产品摒弃标准化批量生产模式，采用不织布、柔软蕾丝带、亲肤毛绒钩织等多元环保材质，经手工剪裁、精细缝制、立体钩编等多道工序匠心制成，每一款都凝聚手工温度，无尖锐边角，触感柔软亲肤，兼具安全性与质感。

设计上兼顾萌趣颜值与便携属性，推出简约甜心、森系软萌等多款风格可选，无论是圆润的毛绒钩织款，还是缀满蕾丝的精致挂饰款，都能适配通勤、校园、出游等不同场景的搭配需求。产品尺寸小巧（约5-8cm），重量轻盈（仅20-30g），配备牢固挂扣，可轻松扣挂于包袋、钥匙串、衣领或背包肩带，随身携带不占地、不突兀，既是防护工具，亦是吸睛的手工配饰。

核心防护功能专业可靠，采用便捷触发设计，轻轻按压触发键即可启动，瞬间发出120分贝以上高分贝警示音，穿透力强，能快速吸引周边人群注意，有效震慑潜在危险，为女性夜跑、加班通勤、独居出行、校园往返等场景提供即时防护。手工材质的温暖质感与硬核防护功能的完美融合，让安全防护不再沉重，既是自用的安心伴侣，也是送给闺蜜、家人的暖心礼物，为女性日常出行筑牢温柔而坚定的安全防线。",B,科技创新,,,,,,,,,,,
17,星火团队,上海市医药学校,《财富岛谜案》是一款为4-12名玩家设计的，融合了版图策略与身份推理的原创桌游。玩家们在环形地图上规划行动、搜集资源与线索，同时要找出隐藏的“觊觎者”。游戏最大的特点是 “行动会留下证据”，通过独特的“行动讣告”机制，让所有推理都基于公开、可追溯的行为逻辑。好人阵营更可以通过“投票放逐”或“集体积累财富”两种截然不同的方式获胜，使得博弈充满变数与深度，一局时长约在60分钟内。,E,休闲娱乐,,,,,,,,,,,
18,SHLB,上海市西中学,治愈系收纳产品 贴纸,A,文创周边,,,,,,,,,,,
19,PRCA学生公司,上海市第三女子中学,黑板擦改良,D,居家生活,,,,,,,,,,,
20,研创智鼎,上海市医药学校,养成系陪伴机器人，给年轻人给多鼓励和情绪价值，通过日常陪伴收获成就感,B,科技创新,,,,,,,,,,,
21,气析,上海市医药学校,本产品为植萃中药食用级固体香薰凝胶，以食用级冷凝剂与黄明胶为核心凝胶基质，全程采用植物配方打造安全基底，原料均符合食品级标准，孕妇、儿童等敏感人群也可放心使用；核心香气来源为沉香、檀香、岩兰草、安息香、雪松、迷迭香等中草药精油，经科学配比调制而成。产品依托水基凝胶缓释技术，无明火、无有害挥发物，可自然释放香气45天以上，主打家用卧室、书房、车载等场景，推出助眠安神、理气舒缓、静心醒脑三款核心香型，在营造宜人香氛的同时，借助中草药的药理特性实现养生功效，是融合传统中药文化与现代安全香氛需求的创新产品。,C,个护香氛,,,,,,,,,,,
22,Dosun 道枢启,华东师范大学第二附属中学闵行紫竹分校,方便的桌边收纳盒,D,居家生活,,,,,,,,,,,
23,CHEL,上海市第三女子中学,天顶画笔袋（艺术笔袋）,A,文创周边,,,,,,,,,,,
24,词源,上海市大同中学,"本产品旨在解决单词背诵两大核心矛盾，打造纸电融合、专业性趣味性结合背诵体系：
一破媒介冲突：化解纸质媒介校内易用却记忆低效、电子媒介贴合科学记忆却校内受限的痛点，实现双媒介优劣势互补、场景全适配；
二破需求冲突：解决不同学生不同类型的背单词需求，以专业化筑牢记忆基础，以趣味化激活学习动力。",E,休闲娱乐,,,,,,,,,,,
25,Solstice,上海市甘泉外国语中学,针对校园卡容易磨损 遗失的问题 我们想出了用卡套进行保护 并着手设计了既独特又有代表性的学校款 在后续会根据这些卡面衍生更多的衍生产品 也会有更多适合校外人员的卡面图案,A,文创周边,,,,,,,,,,,
26,初心文具,上海商业会计学校,这是一本不止于记录时光的日历，更是承载绿意与希望的生态好物。我们以环保可降解纸张为核心材质，拒绝有害化学添加，从源头减少纸张浪费与环境负担，每一页都兼具书写的顺滑质感与对自然的温柔守护。无论是日常记录日程、标注重要时刻，还是作为创意礼物传递心意，这本环保可种植日历本都能将“可持续”的环保理念融入生活点滴。它既是实用的时间管理工具，也是践行绿色生活的小小载体，让每一次翻页都充满期待，每一次种植都收获温暖，用微小的行动，为地球增添一抹生机。,A,文创周边,,,,,,,,,,,
27,DeskTable,上海市大同中学,该产品为一副具有弹性，可揉捏的硅胶“核桃”,E,休闲娱乐,,,,,,,,,,,
28,X-Shine,上海市甘泉外国语中学,由本公司原创设计的一款新中式风格香囊， 图案设计了锦鲤和祥云 底色与图案颜色参考了中国传统颜色色卡，同时我们又增加了香料diy的服务 可以给客户一次自己配香料的机会。,C,个护香氛,,,,,,,,,,,
29,屿光手作,上海市商业学校,"国潮热潮下，本项目精准契合年轻群体对颜值、寓意与互动体验的需求，打造兼具文化质感与情绪价值的手作体验。核心客群涵盖Z世代、都市白领、宝妈及新中式爱好者，通过15分钟简化流程，让消费者自主选天然水晶、搭配隔珠，在动手中收获成就感，成品自带社交分享属性。
",A,文创周边,,,,,,,,,,,
